Section 1: Benchmark Configuration
==================================
mode=detailed
suite_tiers=extended
et_mode=paired
reactive_zero_skip=On
proactive_zero_run_skip=On
zero_run_order_mode=kernel
bit_column_skip=On
warmup_iterations=0
timed_repetitions=1
grouping_policies=OutputChannelModulo,TaskRoundRobin,ETAwareCostBalanced,ETAwareCostBalancedMemoryAware,BroadcastPhaseAwareFanoutBalanced
scenario_count=17
exactness_pass=PASS
primary_invariants_pass=PASS

Section 2: Detailed Primary Metrics
===================================
scenario | grouping_policy | et_enabled | cycles_mean | wall_median_ms | throughput_macs_per_cycle | lane_occupancy | multiplier_utilization | accumulator_utilization | memory_stall_ratio | broadcast_stall_ratio | dram_bytes | onchip_buffer_bytes | activation_reuse_hits | activation_reuse_misses | weight_reuse_hits | weight_reuse_misses | memory_requests_avoided | work_stealing_events | tasks_terminated_early | output_elements_terminated_early | macs_skipped_total | macs_skipped_et_only | macs_skipped_reactive_only | macs_skipped_proactive_only | macs_skipped_zero_only | bit_steps_skipped_total | bit_steps_skipped_et_only | bit_steps_skipped_bit_column_only | zero_run_events | average_processed_fraction_per_task | mismatches
extended-mnist-sample-18 (label=3) | BroadcastPhaseAwareFanoutBalanced | On | 14665.000 | 812.834118 | 0.663280 | 0.279204 | 0.054652 | 0.054652 | 0.653158 | 0.059564 | 25370 | 74702 | 10571 | 210 | 10709 | 72 | 39878 | 720 | 3830 | 3830 | 45667 | 26467 | 12056 | 7144 | 19200 | 269131 | 216850 | 52281 | 2618 | 0.190990 | 0
extended-mnist-sample-2 (label=1) | OutputChannelModulo | Off | 10712.000 | 527.432161 | 0.430172 | 0.373641 | 0.034022 | 0.034022 | 0.591408 | 0.025937 | 25224 | 59920 | 4544 | 64 | 4536 | 72 | 17768 | 1068 | 0 | 0 | 51840 | 0 | 33996 | 17844 | 51840 | 23744 | 0 | 23744 | 6368 | 0.081633 | 0
extended-mnist-sample-2 (label=1) | OutputChannelModulo | On | 8676.000 | 400.346835 | 0.340249 | 0.272127 | 0.028559 | 0.028559 | 0.699772 | 0.013252 | 25224 | 57380 | 3279 | 64 | 3271 | 72 | 12718 | 1194 | 4372 | 4372 | 53105 | 29589 | 15226 | 8290 | 23516 | 254536 | 238602 | 15934 | 2574 | 0.059223 | 0
extended-mnist-sample-2 (label=1) | TaskRoundRobin | Off | 10618.000 | 452.406682 | 0.433980 | 0.376949 | 0.034323 | 0.034323 | 0.605654 | 0.010517 | 25224 | 60208 | 4544 | 64 | 4536 | 72 | 17480 | 29 | 0 | 0 | 51840 | 0 | 33996 | 17844 | 51840 | 23744 | 0 | 23744 | 6368 | 0.081633 | 0
extended-mnist-sample-2 (label=1) | TaskRoundRobin | On | 8802.000 | 406.432754 | 0.335378 | 0.268231 | 0.028150 | 0.028150 | 0.718647 | 0.006182 | 25224 | 57678 | 3279 | 64 | 3271 | 72 | 12420 | 24 | 4372 | 4372 | 53105 | 29589 | 15226 | 8290 | 23516 | 254536 | 238602 | 15934 | 2574 | 0.059223 | 0
extended-mnist-sample-2 (label=1) | ETAwareCostBalanced | Off | 10571.000 | 1139.368518 | 0.435910 | 0.378625 | 0.034476 | 0.034476 | 0.584061 | 0.035409 | 25224 | 60033 | 4544 | 64 | 4536 | 72 | 17655 | 1883 | 0 | 0 | 51840 | 0 | 33996 | 17844 | 51840 | 23744 | 0 | 23744 | 6368 | 0.081633 | 0
extended-mnist-sample-2 (label=1) | ETAwareCostBalanced | On | 8569.000 | 1384.584808 | 0.344498 | 0.275525 | 0.028916 | 0.028916 | 0.678778 | 0.029609 | 25224 | 57462 | 3279 | 64 | 3271 | 72 | 12636 | 2633 | 4372 | 4372 | 53105 | 29589 | 15226 | 8290 | 23516 | 254536 | 238602 | 15934 | 2574 | 0.059223 | 0
extended-mnist-sample-2 (label=1) | ETAwareCostBalancedMemoryAware | Off | 10562.000 | 4801.748298 | 0.436281 | 0.378948 | 0.034505 | 0.034505 | 0.577503 | 0.041540 | 25224 | 60087 | 4544 | 64 | 4536 | 72 | 17601 | 4552 | 0 | 0 | 51840 | 0 | 33996 | 17844 | 51840 | 23744 | 0 | 23744 | 6368 | 0.081633 | 0
extended-mnist-sample-2 (label=1) | ETAwareCostBalancedMemoryAware | On | 8558.000 | 4455.692485 | 0.344940 | 0.275879 | 0.028953 | 0.028953 | 0.681351 | 0.034704 | 25224 | 57531 | 3279 | 64 | 3271 | 72 | 12567 | 4952 | 4372 | 4372 | 53105 | 29589 | 15226 | 8290 | 23516 | 254536 | 238602 | 15934 | 2574 | 0.059223 | 0
extended-mnist-sample-2 (label=1) | BroadcastPhaseAwareFanoutBalanced | Off | 10568.000 | 713.339232 | 0.436033 | 0.378732 | 0.034486 | 0.034486 | 0.586062 | 0.033248 | 25224 | 59980 | 4544 | 64 | 4536 | 72 | 17708 | 745 | 0 | 0 | 51840 | 0 | 33996 | 17844 | 51840 | 23744 | 0 | 23744 | 6368 | 0.081633 | 0
extended-mnist-sample-2 (label=1) | BroadcastPhaseAwareFanoutBalanced | On | 8525.000 | 577.808400 | 0.346276 | 0.276947 | 0.029065 | 0.029065 | 0.690860 | 0.029299 | 25224 | 57456 | 3279 | 64 | 3271 | 72 | 12642 | 793 | 4372 | 4372 | 53105 | 29589 | 15226 | 8290 | 23516 | 254536 | 238602 | 15934 | 2574 | 0.059223 | 0
extended-mnist-sample-2462 (label=2) | OutputChannelModulo | Off | 23137.000 | 870.546224 | 0.958465 | 0.343800 | 0.075805 | 0.075805 | 0.536715 | 0.113209 | 25468 | 97269 | 21868 | 308 | 22104 | 72 | 85583 | 979 | 0 | 0 | 34272 | 0 | 21789 | 12483 | 34272 | 114268 | 0 | 114268 | 4800 | 0.392857 | 0
